id,f_b,odometer,game_time,high_speed_running,acc_efforts_3,total_accel_load,att_rucks_hit
SJZDAPB,Back,6085.84,67,464.83,22,2102.51,8
JMWPVEN,Forward,5343.15,70,190.54,20,1559.1,15
ZUYHYID,Forward,2914.83,40,76.94,2,924.05,17
HTSZLEH,Forward,4776.57,63,89.98,1,1360.96,8
ETQBCJH,Forward,6417.05,71,366.11,6,1940.77,25
SZTLXMD,Forward,4334.15,52,0,5,1351.62,17
BVULURV,Forward,5401.94,70,290.91,4,1740.91,17
NUWHRPG,Forward,7175.15,80,334.54,13,2141.06,19
HTSZLEH,Forward,340.36,9,12.31,1,88.49,1
MCHPZKH,Back,7519.89,80,924.15,35,2316.1,12
SJZDAPB,Back,4184.24,54,272.52,6,1416.11,3
DEFUHXZ,Back,5210.56,70,514.61,19,1665.19,2
JJMNQSB,Forward,2067.67,26,111.87,2,783.99,10
TVRZJIB,Forward,301.72,0,103.85,4,181.19,10
SMWSGNX,Forward,2376.76,28,189.63,7,703.46,17
PDAYGVM,Back,4486.01,52,514.61,12,1306.69,15
SJZDAPB,Back,6085.84,71,717.06,8,2134.82,10
NUWHRPG,Forward,6531.31,80,194.31,13,2229.57,25
RYQSVSY,Forward,929.33,8,580.5,20,297.19,2
PLGGGQE,Forward,6348.63,80,375.49,13,2163.73,29
DEFUHXZ,Back,6830.77,80,661.9,19,2162.68,1
VGEDYZM,Forward,929.33,9,31.94,0,304.35,8
PDAYGVM,Back,2149.29,23,174.79,11,795.98,2
PLGGGQE,Forward,6348.63,80,382.24,24,2163.73,29
PSEJLWN,Back,7209.53,80,1194.87,43,2268.98,8
BVULURV,Forward,6417.05,80,206.21,5,2033.69,25
PUINRUW,Forward,6531,80,206.21,9,2229.57,24
MHKTFBW,Forward,3589.01,50,52.34,3,1166.84,9
EGWTSYC,Back,7827.9,80,1006.35,34,2255.39,9
HTSZLEH,Forward,706.49,5,45.76,1,230.28,1
SZTLXMD,Forward,5206.61,55,183.27,6,1729.89,18
GTRUQWY,Back,6459.33,80,452.56,25,1940.77,7
BVULURV,Forward,5401.94,70,359.27,15,1847.56,21
GTRUQWY,Back,5561.29,80,546.4,16,1847.56,8
OIPGSUM,Forward,5748.52,70,171.89,4,1835.57,21
JTSZXFZ,Back,836.22,8,304.41,4,289.57,0
JMWPVEN,Forward,5361.67,67,366.11,20,1835.57,21
MCHPZKH,Back,916.4,10,217.49,3,297.19,5
SZTLXMD,Forward,3659.58,54,83.44,4,1209.34,17
VGEDYZM,Forward,2061.7,28,52.34,1,707.16,10
GTRUQWY,Back,4664.99,52,544.14,19,1521.76,10
PLGGGQE,Forward,6273.7,80,270.35,7,2084.43,26
JNUUUWQ,Back,1392.11,13,176.69,7,433.98,1
TQUJTZE,Back,2891.85,10,40.24,5,1003.13,1
SMWSGNX,Forward,4094.89,59,189.63,8,1355.33,17
BVULURV,Forward,5196.77,77,290.91,13,1735.17,15
RYQSVSY,Forward,929.33,8,61.32,8,297.19,2
DEFUHXZ,Back,2880.96,0,382.39,18,731.55,2
TQUJTZE,Back,1917.39,10,132.68,6,630.71,0
RYQSVSY,Forward,4897.87,59,147.22,5,1729.89,18
BVULURV,Forward,4173.91,55,273.28,14,1521.76,15
NUWHRPG,Forward,5561.29,75,144.48,3,1847.05,29
RMBPISX,Forward,1512.64,13,49.5,6,478.8,0
JTSZXFZ,Back,7467.64,80,924.15,20,2316.1,2
HTSZLEH,Forward,706.49,9,41.78,1,259.08,1
GTRUQWY,Back,6323.91,80,516.39,17,2033.69,7
RMBPISX,Forward,2361.12,24,190,10,707.16,1
EGWTSYC,Back,3515.76,42,426.69,23,1258.83,1
TQXARYT,Forward,1114.26,17,76.94,2,384.25,8
MHKTFBW,Forward,2725.45,27,31.02,1,924.05,15
PSEJLWN,Back,6954.18,80,924.15,29,2231.01,9
GGDXOLH,Forward,494.63,6,49.5,1,98.77,3
PDAYGVM,Back,4761.47,50,544.14,24,1351.62,8
BOJDBVY,Back,5343.15,63,514.61,12,1563.88,5
SJZDAPB,Back,6085.84,71,427.67,19,2105.51,15
BVULURV,Forward,4648.7,70,499.24,8,1360.96,11
NUWHRPG,Forward,5812.56,80,237.3,12,2134.82,33
OBPCGCM,Back,7036.07,80,823.64,33,2069.36,0
PSEJLWN,Back,6793.48,80,1006.35,31,2095.32,9
BOJDBVY,Back,5541.59,71,521.88,10,1827.13,3
TQUJTZE,Back,2891.85,5,160.06,5,731.55,0
AYORETW,Forward,5748.52,80,515.74,24,1982.23,17
PLGGGQE,Forward,6348.63,80,270.35,6,2053.03,37
PHGASBO,Back,6917.15,80,540.78,19,1952.66,6
PDAYGVM,Back,2361.12,20,105.54,3,795.98,1
SZTLXMD,Forward,5206.61,63,155.96,8,1729.07,17
AYORETW,Forward,5646.75,80,515.74,24,1847.05,19
ZTYAIQB,Back,8143.71,80,604.75,9,2080.65,8
RMBPISX,Forward,2361.12,21,49.5,5,681.88,1
PUINRUW,Forward,6652.39,80,239.25,9,2259.58,26
BVULURV,Forward,6725.41,80,351.48,14,2069.36,19
AYORETW,Forward,6628.07,80,691.54,18,2095.32,20
HTSZLEH,Forward,951.16,6,31.02,0,231.65,2
MCHPZKH,Back,6086.34,80,715.26,31,2015.27,11
LMJTKDV,Back,6084.74,72,749.36,25,1835.57,6
DEFUHXZ,Back,6531,80,581.46,24,2130.03,5
RMBPISX,Forward,4246.73,55,329.58,10,1421.41,12
PHGASBO,Back,6476.19,80,769.91,10,1714.6,5
GGDXOLH,Forward,4634.48,71,176,8,1355.33,12
JTSZXFZ,Back,7943.6,80,924.15,24,2568.94,0
OBPCGCM,Back,6117.9,72,769.91,25,1854.23,2
PLGGGQE,Forward,5896.18,75,249.48,8,2083.21,33
SMWSGNX,Forward,1585.16,13,149,3,509.35,3
VGEDYZM,Forward,2212.81,27,52.34,3,698.92,11
GGDXOLH,Forward,3462.65,10,273.28,8,1192.66,1
SMWSGNX,Forward,1946.77,28,85.23,2,698.92,17
AURYDCY,Back,7186.96,80,540.78,22,2039.33,12
AURYDCY,Back,7186.96,68,751.3,22,2116.73,12
MCHPZKH,Back,3249.5,20,368.96,10,818.65,0
GGDXOLH,Forward,6998.16,80,313.99,8,2074.3,26
BVULURV,Forward,6725.41,80,347.17,16,2074.3,19
TQUJTZE,Back,785.13,4,160.06,5,242.43,1
AYORETW,Forward,5748.52,80,695.72,25,2060.71,21
BVULURV,Forward,6725.41,80,239.25,4,2204.35,24
GGDXOLH,Forward,494.63,0,190,8,178.9,3
RYQSVSY,Forward,1838.41,23,142.97,2,592.67,17
OBPCGCM,Back,6647.04,80,540.78,25,2069.36,5
GTRUQWY,Back,5812.56,80,515.74,12,1854.23,5
AURYDCY,Back,5668.58,80,452.56,17,1740.91,7
EGWTSYC,Back,7670.95,80,1088.53,31,2255.39,7
GTRUQWY,Back,5468.76,80,483.69,17,1740.91,12
BVULURV,Forward,6725.41,80,347.17,12,2204.35,26
EGWTSYC,Back,5366.94,56,659.65,16,1831.45,8
JMWPVEN,Forward,5541.59,80,189.09,18,1911.02,17
MCHPZKH,Back,1601.53,13,178.59,7,374.99,0
DEFUHXZ,Back,2880.96,20,486.74,22,827.52,0
AHRFGEN,Forward,1194.01,17,45.1,4,399.49,7
ETQBCJH,Forward,4658.78,67,189.09,8,1302.35,9
RMBPISX,Forward,3965.96,53,234.59,11,1473.58,9
OBPCGCM,Back,2880.96,30,486.74,21,731.55,0
ETQBCJH,Forward,4658.78,70,190.54,4,1302.35,9
JTSZXFZ,Back,8143.71,80,952.77,18,2521.42,2
DEFUHXZ,Back,5974.61,80,452.56,19,2229.57,4
